iter	RMSE
0	982.9415411
1	938.154662
2	910.8434718
3	899.5449568
4	891.695731
5	887.3500547
6	882.5591757
7	879.1945235
8	876.5697942
9	874.326908
10	872.6563917
11	871.5543475
12	870.3869199
13	869.6707164
14	867.2578504
15	865.7530898
16	864.2402973
17	861.6299286
18	859.2306364
19	858.3956568
20	857.4128224
21	856.5303353
22	855.464782
23	855.0314622
24	854.0512082
25	853.3439124
26	853.0132534
27	851.6902372
28	850.7912712
29	850.1708924
30	848.3293242
31	847.5682406
32	846.9607654
33	845.8673754
34	845.3591191
35	844.5285103
36	843.3946184
37	842.585868
38	841.0890749
39	839.7375466
40	839.085274
41	838.3256954
42	837.3769056
43	834.8195586
44	833.8791393
45	833.2100993
46	832.4959028
47	830.9914027
48	829.4185889
49	828.6053252
50	827.3678004
51	826.5731866
52	825.9733931
53	824.9230461
54	824.2126502
55	823.5095656
56	822.9337082
57	822.4769381
58	821.7952539
59	820.5372132
60	819.9570676
61	819.6543175
62	819.0508335
63	818.6149566
64	817.7572669
65	817.5227718
66	815.6422597
67	815.1004736
68	814.3227681
69	813.859481
70	813.3688171
71	812.1265035
72	811.7054113
73	811.1103898
74	810.4492323
75	809.6100517
76	808.6342756
77	808.2735529
78	807.7880115
79	806.5915298
80	805.2469777
81	804.3966265
82	803.772487
83	803.3306391
84	802.3556041
85	801.6706315
86	800.9597873
87	800.6930407
88	800.3784659
89	799.757078
90	799.1220174
91	798.1111773
92	796.7995591
93	796.307991
94	795.289308
95	794.6325479
96	793.7757844
97	792.8787001
98	791.561904
99	791.352562
