iter	Passed	Remaining
0	16	1645
1	22	1085
2	28	928
3	33	811
4	38	725
5	42	667
6	46	618
7	50	581
8	53	540
9	58	527
10	60	493
11	63	465
12	65	441
13	68	418
14	71	407
15	74	391
16	76	374
17	79	360
18	81	347
19	83	334
20	86	323
21	90	321
22	93	312
23	95	303
24	98	296
25	101	289
26	104	283
27	107	275
28	109	267
29	111	260
30	113	253
31	116	247
32	119	242
33	121	236
34	123	230
35	126	224
36	128	218
37	131	214
38	134	210
39	137	206
40	141	202
41	143	197
42	145	193
43	148	188
44	152	186
45	154	181
46	156	176
47	159	172
48	161	168
49	165	165
50	168	161
51	170	157
52	173	153
53	176	149
54	178	145
55	180	142
56	183	138
57	185	134
58	187	130
59	190	126
60	192	123
61	195	119
62	198	116
63	200	112
64	202	109
65	207	106
66	212	104
67	215	101
68	219	98
69	222	95
70	225	92
71	230	89
72	232	86
73	236	83
74	244	81
75	247	78
76	252	75
77	255	71
78	265	70
79	267	66
80	270	63
81	273	59
82	277	56
83	279	53
84	282	49
85	284	46
86	286	42
87	290	39
88	293	36
89	295	32
90	297	29
91	300	26
92	303	22
93	306	19
94	309	16
95	311	12
96	313	9
97	316	6
98	318	3
99	321	0
