iter	Passed	Remaining
0	157	15557
1	165	8125
2	175	5684
3	237	5701
4	248	4729
5	261	4090
6	269	3580
7	275	3163
8	281	2843
9	286	2580
10	291	2354
11	296	2172
12	300	2007
13	304	1872
14	310	1757
15	313	1644
16	318	1553
17	324	1476
18	327	1395
19	332	1330
20	337	1268
21	341	1209
22	344	1153
23	349	1106
24	354	1064
25	357	1018
26	363	982
27	371	954
28	374	916
29	379	886
30	385	858
31	388	826
32	393	799
33	398	774
34	402	747
35	405	721
36	410	698
37	415	678
38	418	654
39	424	636
40	430	619
41	435	601
42	441	585
43	444	565
44	449	549
45	453	532
46	458	517
47	461	500
48	466	486
49	472	472
50	475	456
51	480	443
52	486	431
53	489	416
54	492	403
55	497	390
56	502	379
57	505	366
58	510	354
59	517	344
60	520	332
61	524	321
62	528	310
63	533	300
64	537	289
65	542	279
66	547	269
67	550	259
68	555	249
69	560	240
70	565	230
71	568	221
72	573	212
73	579	203
74	582	194
75	587	185
76	592	177
77	596	168
78	601	159
79	606	151
80	611	143
81	615	135
82	619	126
83	624	118
84	627	110
85	632	102
86	638	95
87	641	87
88	647	79
89	650	72
90	655	64
91	659	57
92	664	49
93	669	42
94	672	35
95	678	28
96	682	21
97	686	14
98	690	6
99	694	0
